#,Subject,Question,Answer,Origin,Date,Links
11,Alerting,Can LME send text alert along with email alert? ,This could be possible with a Twilio account. Users are encouraged to review the ElastAlert documentation.,LME Office Hours,2/25/25,https://github.com/cisagov/LME/blob/main/docs/markdown/maintenance/elastalert-rules.md
12,Upgrading,Should I update Ubuntu if I'm running LME?,"Updating Ubuntu is at the discretion of the user; however, LME 2.0.2 has been successfully tested with Ubuntu 22.04 and 24.04. ",LME Office Hours,4/28/25,
13,Upgrading,Does upgrading Ubuntu impact LME stability or performance?,"When Testing Ubuntu Versions 22.04 and 24.04, LME detected no performance impacts.",LME Office Hours,4/28/25,
14,Upgrading,Is it safe to run apt update or apt upgrade while LME is installed and running?,LME has not tested apt update and apt upgrade. LME may integrate these commands in the future.,LME Office Hours,4/28/25,
15,Upgrading,Do I need to upgrade the server if a new vesrion of Ubuntu is released?,"Updating Ubuntu is at the discretion of the user; however, we recommend using Ubuntu 22.04 or 24.04 as they have been tested with LME 2.0.2.",LME Office Hours,4/28/25,
16,Install,Where can I find configuration or installation documentation for LME?,Users can find configuration and installation documentation on LME’s GitHub within the README.,LME Office Hours,4/28/25,https://github.com/cisagov/LME#3-downloading-and-installing-lme
17,Documentation,Are there beginner-friendly resources available?,"Yes, LME has documentation and videos available to support your deployment.",LME Office Hours,4/28/25,
18,Compliance,Does LME support NIST 800-53 or CMMC compliance? Is there any documentation on how LME maps to these standards?,"there is no official mapping between LME and these frameworks.
Mapping specific controls or compliance team would typically be responsible for this assessment. As a starting point, many Kibana detection rules map to the MITRE ATT&CK framework, which can help inform control alignment.",LME Office Hours,4/28/25,
19,Alerting,What's the difference between alerts configured in Kibana and those set in the ElasAlert2 rules directory?,"Kibana alerts are built-in detection rules created and managed through the Kibana interface. While they can detect events based on log data, sending those alerts to external destinations like Slack, email, or Microsoft Teams requires a paid Elastic license.
On the other hand, ElastAlert2 is an open-source alerting engine that handles alert notifications. The detection logic still relies on Kibana’s rules, but ElastAlert2 watches for matching events and sends alert messages to your preferred destinations without requiring a paid license.",LME Office Hours,4/28/25,
20,Alerting,Why use ElastAlert2 instead of Kibana alerting? Are there cost advantages or functionality differences?,"LME uses the open source version of Elastic, which doesn't include Kibana's built-in alert and notification features. Because those features require a paid Elastic license, LME relies on ElastAlert2 as our alerting engine to provide no cost alerting and notifications to email, Slack, Teams, etc.",LME Office Hours,4/28/25,
21,Upgrading,"If we upgrade to a paid Elastic license, will LME still work?","LME operates effectively with a paid Elastic license, but LME has not tested this nor is it planned.",LME Office Hours,4/28/25,
22,Integrations,Can LME integrate with cloud services like Okta or Meraki?,"Yes, LME can ingest a wide range of log types using Elastic’s official integrations, including cloud services like Okta and Cisco Meraki. These integrations allow the Elastic Agent to collect, parse, and forward log data to LME",,4/28/25,
23,Integrations,What's the best way to ingest logs from cloud services like Okta or Meraki?,"The recommended approach is to use Elastic Agent integrations to collect logs from these services. Specifically:
•	Okta Integration
•	Cisco Meraki Integration
While LME is not configured to ingest these logs by default, users can follow Elastic’s documentation to configure integrations. Some integrations may require Application Programming interface (API) keys or external log forwarding (via syslog or HTTP, etc.), and advanced use cases may involve custom parsing or pipeline adjustments",,4/28/25,
24,Compliance,"Is LME FIPS-validated, or does it rely on Ubuntu's Federal Information Processing Standards (FIPS) validation for compliance?","LME isn’t created from scratch. It’s integrated into industry standard services from Elastic Stack (Elasticsearch, Kibana). It boasts added customizations such as dashboards, alerting, and simple installation.
LME has not gone through FIPS validation. Whether that can or cannot meet individual organization standards is dependent upon the ability to install Elastic If available, it should meet your standards. LME’s development of the install process intends to meet CISA’s “Secure by Design” requirements.
As a point of pride, LME is a secure installation of the Elastic Stack. Other requirements that one may desire, such as two-factor authentication, are not yet a feature of LME so your organization would need to implement independently. That functionality is a paid service from Elastic.",,4/28/25,
